,asin,user_name,review_star,review_title,text,date_and_country,product_name
11,B007SYSQ7K,Mary S.,5.0,The proof is in the results. How do you feel? I feel great!,"After having tremendous problems with immune system issues, particularly in the gut with IBS, I had a doctor that thought I had gluten issues. I was tested for this during upper GI endoscopy and the test showed negative. The only thing I know for certain is that I cannot digest meat very well. I am not a vegan, but my body has moved me more and more in that direction because I cannot digest meat without massive stomach issues and I felt hungry and tired all the time. On the quest for a protein supplement that doesn't come from animals, I discovered this product.First and foremost, this is not the best tasting thing you ever tried, but the taste will grow on you. Make sure you are mixing it properly and with COLD water. I have the 
  
Cuisinart CSB-76BC SmartStick 200-Watt Immersion Hand Blender, Brushed Chrome







  
  
     and this is what I use to mix mine. It's so easy! I add about 8 oz water, instead of the recommended 6 oz and this gives me a better blend.  By the way, while people are going on and on about how bad this is. It is not that bad. As I said, the taste will grow on you, but if you're not mixing it fully, it can be quite chalky. BTW, I use the chocolate flavor and if you're mixing right, it DOES taste like a chocolate shake. In the beginning, I didn't mix mine well using a standard blender and it tastes bad if you don't get it fully mixed. I switched to the hand blender, which does a marvelous job and so much easier to clean up afterward.All of that aside, the real question is, does it work? Do you have more protein? Do you feel differently while taking this supplement. The answer to all of those for me is absolutely YES! Not only do I feel more energized (I have two shakes a day now), my IBS is practically a thing of the past. The great thing about this product is that it contains probiotics and these are different than the usual kind you see in pill form. I never noticed any difference with the probiotic pills, but with this, I am more ""normal"" than I've ever been. Perhaps it's the combination of the raw protein and the probiotics and the amino acids? I have no idea, but it's rare I can say this: It has changed my life!I have never felt this good in my life, no really, never. I noticed it just after two days of use, so I discontinued using it to see if it was just placebo effect. Within 3 days, all my old gut issues came back, so I went back on this supplement and now I'm never going off. Even my mood is so much better and when people notice and say how happy you seem and what are you doing different - then you know you're onto something. It's amazing how much happier I am when I'm not malnourished and sick to my stomach all the time. I never thought I would feel well enough again to live life fully, but I am now. I have been telling everyone that if people knew how much better this stuff could make them feel, they couldn't keep it on the store shelves. Maybe I was just that bad off, but I can't believe this powder has made all that difference, but it has. Even my seasonal allergies have improved since taking this product. What in the world is in this stuff? I don't know, but I hope they never stop making it. I'm on the subscription plan now. I call this my prescription because it works better than all the stomach pills the doctors had me on and this has given me no side effects.If you are having digestion issues, please give this a try. You might be as lucky as me and see a huge difference in the way you feel. I feel awful for people that are suffering, like I was. This might do the trick for you, too.","Reviewed in the United States on March 21, 2013",Flavor Name: Chocolate
12,B007SYSQ7K,J. Krishnaswami,4.0,"Neutral taste, good source of vegan non-soy protein at a reasonable price","If you're looking for a non-GMO, non-heated, natural source of protein that doesn't break the bank, this one fits the bill. And Amazon has the best price (especially if you subscribe & save).I'm vegetarian and was getting a bit underweight, so I needed to supplement with some shakes that were healthy (ie, not gooped up in hydrogenated corn oil and sweeteners).  I also am blessed with a fairly sensitive stomach, so I  didn't want to go with super-processed whey proteins or estrogenic soy proteins.  And finally...I wanted something I could mix into things that wouldn't taste artificially sweet or, well, weird. So I got hooked on this protein and it's been a staple ever since.There are tons of things to love about this protein. First, I like about it is that it's a synergistic blend of many types of proteins - pea, rice, amaranth, chia, etc - so you're getting a full spectrum of healthy proteins. Another plus is that it has probiotics - helpful for digestion.  It's also not heated, there's no stevia or other sweeteners so it's like a ""blank palate"" for making it salty, sweet, spicy, etc. (The possibilities are endless - I've made it into a hummus-like dip, sweet smoothies, added it to cookies and baked goods, sprinkled it on fruit and yogurt..) There's a lot of powder in a scoop (compared to other proteins out there), but it's not super high calorie and has a high percentage (80%) of protein. Finally, it doesn't taste FOUL. I mean, I have tried plenty of proteins - basically everything that's at your local Whole Foods - and some of them, especially the pea-protein-heavy ones like PlantFusion, taste salty and funky.  This one I've actually grown to like. I've had it plain (mixed just with water), with almond milk (gives it a nice ""caramel-y"" undertone), with fruit and coconut milk as a dessert, and even in a blended soup.  I felt amazing after starting to supplement twice a day - I'm much more muscular, feel more energetic, and am certainly less hungry.Why am I knocking it off one star? First, there is no information about the sodium content on the label. Check out other pea proteins - you'll see sodium is anywhere from 11 - 27% of your RDA.  (Whether sodium consumption really affects blood pressure is another issue, but still - I want to know what I'm consuming.) Given that nearly EVERY protein out there that I've seen has information about this, it's really unacceptable for Garden of Life not to disclose this on the label.Also, note the taste WILL take some getting used to if you're used to the sucralose/stevia sweetened whey proteins or other super-sugary protein shakes out there.  You can start by replacing the sugar with fruit, or maybe add a few drops of stevia. Honestly, though, give it a week or two, and those tastes will start to change, and the natural taste actually becomes something you like. It's nice to give over-stimulated taste buds a break from all that sweetness.I will also say that there are better tasting proteins out there. My personal favorite is brown rice protein - it's smooth, blends really well, and just tastes ""sweeter"". But it's only one type of protein, so I like to mix it up - some days I'll do the brown rice, some days Garden of Life.I'd highly recommend this as a ""starter"" natural protein for anyone looking for a good, complete, non-processed source of vegetarian protein!","Reviewed in the United States on November 29, 2012",Flavor Name: Unflavored
13,B007SYSQ7K,Sarah,5.0,A Delightful Taste and High Quality Protein,"This product has been exactly what I was hoping for. The tasty vanilla flavor is just so good, it makes drinking this protein shake a delightful experience. Plus, it's organic, vegan, and packed with BCAAs which is a huge bonus. I'd definitely recommend it to anyone looking for a well-rounded protein supplement.","Reviewed in the United States on November 20, 2023",Flavor Name: Vanilla
14,B007SYSQ7K,Shoppinurse,5.0,"The Closest Thing to a Raw, Vegan Meal","I think I've tried all the vegan protein powders out there. This is the first one that I didn't have to ""settle"" for. There are others that I like, but this is the only one that is truly smooth, and can be mixed with water, almond milk, or whatever without using a blender. I was amazed at that. Other reviewers comment on the taste. It is one you have to get used to. Americans are addicted to sugar, and to food, in general. For this reason our taste buds are compromised. We have been led by the media to believe that sugary cereals and other highly processed ""foods"" are ""healthy.""It is my understanding from all the recent research that sprouted beans, nuts and grains are full of life and health, particularly when they are ""raw."" I was pleasantly surprised by the ingredient list for this product when I found many sprouted foods. This powder is easy to digest, and I believe the nutrients are most likely easily absorbed and utilized because of the digestive enzymes and probiotics. I have trouble with my digestive tract, and I had no problems at all after drinking this shake. I generally like to use unsweetened almond milk and peppermint oil in my shakes. As far as I know the peppermint oil helps with digestion. And I like the taste.I'm glad I found this powder. I plan to take it camping, along with dried foods. The price is great through Amazon, and I always know that Amazon's customer service is unbeatable. They are one of the only companies I know of that allows you to talk to a person who is truly concerned about your satisfaction and will do anything necessary to prove that quickly.Thanks for carrying this product at such a great price.Update: I've tried even more brands since I wrote this review. I always come back to this one. Not for the taste, but for a few other reasons:1. It's only 1 point on Weight Watchers.2. I can always digest this, without any bloating or abdominal cramping at all.3. I add my coffee to it for an iced coffee drink because the acid in coffee hurts my stomach and bladder. This product must be alkaline because it seems to neutralize the coffee acid. No stomach or bladder pain.The taste is not great and it's gritty. I put one packet of stevia in it. It's worth it to feel so good and it's so easy to stick to a Weight Watchers using this. I will keep buying this.","Reviewed in the United States on January 16, 2012",Flavor Name: Unflavored
15,B007SYSQ7K,JP,1.0,False advertisement with continual decline in quality,"Update (2023): Nestle is a wicked corporation that bought this Garden of Life brand and ruined it with bad ingredients and filthy marketing lies. This was my go-to protein supplement for many years, but each year they change the formula for the worse and lie by calling it “new and improved"". The taste and texture may be improved but its health benefits certainly are never improved; you just get lower-quality ingredients and cheaper fillers while paying more for it. Here is a list of changes that show why no one should waste their hard-earned money on this trash (refer to my pictures to see the changes on their packaging):1) This product used to have no pea protein, (one of the cheapest and lowest quality of plant-based protein next to soy) now it almost 100% pea protein and Nestle is peeing on their customers and calling it “rain”. It’s not even sprouted pea protein even though they deviously list it under their “sprouted protein blend” heading.2) This product now contains erythritol as a cheap sweetener. Erythritol causes bloating and gas and is their cheap and inferior substitute for stevia. If it originally had erythritol I never would have bought this product.3) This product now contains guar gum as a cheap thickener with no nutritional benefit. This might as well be sawdust, added weight for nothing.4) This product no longer lists what foods their added vitamins and minerals are sourced from, and their mineral profile has been reduced. Most vitamin C that is added to store products is sourced from lab-grown black mold grown cultures and is of poor quality, while this product used to derive most of its added vitamins from more high-quality brewer’s yeast. Since they no longer list the source of the vitamins, it is safe to assume the worst as they wouldn’t hide it if they were proud of it and the FDA does not require them to list it. This product is also longer a good source of selenium, molybdenum, manganese, and magnesium.5) This product is no longer a good source of probiotics. To be considered a go probiotic a supplement should have more than 3 billion CFUs it now has less than 250 million. Not only has the quality of their cultures declined, but I also got a Listeria infection (Listeriosis) from eating one of their products. A probiotic supplement should help prevent you from getting life-threatening bacterial infections, not actively give you one. Nestle is opening itself up to a serious lawsuit with a lack of quality control.","Reviewed in the United States on October 2, 2023",Flavor Name: Vanilla Chai
16,B007SYSQ7K,Amy Venters,3.0,"Quality yes, flavor blending, nope","Not a fan of the flavor Vanilla Chai at all.I love the flavor in general but this does not even remotely taste like it to me. Not near as blendable as PlantFusion meal replacement complete (vanilla). Texture thicker also leaving tiny dots of I blended powder that feel gross when consuming… bummer. The price was similarI picked this to try for reason I read, this company has third party testing of its products. In an unregulated market I began to wonder what is actually in these powders, prompting a long research day for me. I very much wanted to love this based on all I’d read & learned.Disappointed, I have a tub full I only took a few scoops out of. I fear I couldn’t even give it away having been opened in this climate of distrust and everything today..  I’m bummed as 30$ is a lot and I still have to get my Protien supplemented for the month regardless. Free trial packets would be a bonus for many of these companies since the cost is high as is the medical need for some folks. I don’t know why some are totally blendable and some are not, some lack flavor. Also side note; these huge plastic tubs all the companies use are senseless when smaller pro-eco pouches would save shipping space, create less waste, less petro pollution hurting the climate. Alternates: Coffee type pouch? Woven tight bags with paper linings or plant bags? Recycled bags? Compostable would be fabulous!? Tubs take up too much space in a small cupboard also. This one wasn’t as big as some but still way big enough and at scale? Lots of plastic…Just a suggestion.I’ve seen others mention the tub sizes on many types of powders based on weight.Can we Ask to try these first?","Reviewed in the United States on November 1, 2022",Flavor Name: Vanilla Chai
17,B007SYSQ7K,Lana Robinson,5.0,Let's be real,Let's be real! The vanilla chai tastes horrible. I'm giving it 5 stars because it's actually very healthy for you and that's why you should be taking it! Good clean energy and nice boost to aminos and probiotics. Pinch that nose and chug it down!!,"Reviewed in the United States on September 19, 2023",Flavor Name: Vanilla Chai
18,B007SYSQ7K,Catherine,4.0,"Great in smoothies, took some getting used to","I have been using this protein powder since august and at first I was not a fan, but I am on my third tub now and I love it! I previously used orgain chocolate protein powder and it definitely tastes more like chocolate than this….this flavor took some getting used to. But I think asking for protein powder that is made from peas, quinoa, legumes, etc. to taste EXACTLY like chocolate…is asking a lot. Plus this has the highest amount of protein I could find in an organic plant based protein powder. I mix a scoop and a half with naked peanut butter powder, a banana, and oat milk every morning and sometimes if I need to meet my goal I mix it with frozen cherries and low fat ice cream for an evening treat. Give it a chance!!!","Reviewed in the United States on December 8, 2023",Flavor Name: Chocolate
19,B007SYSQ7K,JTS_GameDeveloper,5.0,Wonderful plant based protein powder with NO Sugar or Artificial sweeteners!,"This protein powder is the only one I've found that i can have with no sweetener at all. Sometimes it has come with a broken seal but i have sadly had this happen with other supplements. It haopens. Overall this product is great full of nutrients BCAA, oprotein, enzymes. And no artificial sweeteners either! 😊 I just use vanilla flavor almond milk a little bit of sugar that i control the amount on and cinnamon it then it tatses great!","Reviewed in the United States on December 25, 2023",Flavor Name: Unflavored
20,B007SYSQ7K,Sujoy,4.0,Taste not good,I bought the unflavored one which I think was a mistake. It tastes bad and that taste stays in the mouth for a long time. Better to take the flavored one.,"Reviewed in the United States on December 8, 2023",Flavor Name: Unflavored
21,B007SYSQ7K,auburnwendie,4.0,Chai shake,"I love Garden of Life products. Not manufactured from big pharma. I also really enjoy Chai however, the flavor is not as I expected. I Will try coconut milk Instead of water which will increase calories but hopefully enhance flavor. Will try plain vanilla perhaps to see if I like the flavor better.","Reviewed in the United States on November 14, 2023",Flavor Name: Vanilla Chai
22,B007SYSQ7K,Bing,4.0,I am prepared for this unflavored protein but the taste is really not good,"I like this protein powder and tried other flavored ones. But this un flavored one is really not good, make the fruit smoothie tasting weird too…","Reviewed in the United States on November 18, 2023",Flavor Name: Unflavored
23,B007SYSQ7K,Jordan Hands,5.0,Delicious and Clean Ingredients,Purchased this protein to make protein balls postpartum… everything I have used this product in has tasted great!,"Reviewed in the United States on December 21, 2023",Flavor Name: Chocolate
24,B007SYSQ7K,Amazon Customer,5.0,Great protein powder,"I wanted a clean protein powder that didn’t contain anything pro-inflammatory and really like this option. The vanilla flavor is light, I mix it with fruit for a smoothie. It mixes well in a Ninja blender and my daughter has tried it and liked the taste as well. This has become a regular staple after workouts.","Reviewed in the United States on November 25, 2023",Flavor Name: Vanilla
25,B007SYSQ7K,DianaH,4.0,Unflavored?,I was excited when I read the ingredients and that I could get ‘unflavored’. However this is not good at all. I’m usually pretty tolerant of tastes knowing it’s good for me. A serving is 2 scoops which are huge. I can’t even do one scoop. I won’t be buying again. But perhaps I’ll try the vanilla!Ingredients and benefit seem excellent though.,"Reviewed in the United States on October 20, 2023",Flavor Name: Unflavored
26,B007SYSQ7K,ethompson,5.0,Looks great,"I had good intentions when I purchased this product, got it on spontaneous whim.  It looks good on my counter, and it is open but I can’t really say I have tried this","Reviewed in the United States on December 1, 2023",Flavor Name: Vanilla
27,B007SYSQ7K,Patti ,5.0,Chocolate flavor is the best.,"They changed the flavor about a year ago and it is ok, but I am getting use to it. It still tastes good, just not as good as it use to.","Reviewed in the United States on November 30, 2023",Flavor Name: Chocolate
28,B007SYSQ7K,mermaid sister (Florida),5.0,Tasty protein shake,"This product is a great addition to my shakes made with fresh fruits, ice and coconut milk.","Reviewed in the United States on December 10, 2023",Flavor Name: Chocolate
29,B007SYSQ7K,nicki fanoli,5.0,Quality Vegan Protein Powder,"This product is fantastic with a Non-GMO Project Verified label and USDA Organic Certified status. The delicious vanilla flavor, 22g of plant-based protein and 5g of fiber per serving, make it a great addition to my daily routine. The included digestive enzymes make it easy on the stomach. A top choice for quality, vegan protein powder!","Reviewed in the United States on November 16, 2023",Flavor Name: Vanilla
30,B007SYSQ7K,Colleen K.,5.0,Great mix of protein sources,"I bought this because it offers a great mix of plant-based protein sources, ensuring protein complementarity, and it is free of stevia and erythritol. I don't care for the taste of either sweetener.I put it in smoothies that include half a banana and half a cup of berries. It's perfectly palatable. I use an immersion blender, which eliminates any texture issue for me.It consists of clean ingredients that taste just fine in combination with fruit and spinach. This is my go-to protein powder. I'm glad Garden of Life offers it.","Reviewed in the United States on October 28, 2023",Flavor Name: Unflavored
31,B007SYSQ7K,angelina6363,5.0,Favorite go to protein,"I use protein powder daily and like to drink different flavors to alleviate boredom. This flavor isn’t too powerfully sweet, tastes great, blends well and I drink this one the most. Great protein quality, also.","Reviewed in the United States on November 26, 2023",Flavor Name: Vanilla
32,B007SYSQ7K,Swizzlestik,4.0,Get the Vanilla,"I have purchased this product twice and definitely recommend that you get the vanilla version. The flavor of the chocolate was very disappointing. Mixing with almond milk and some cold coffee made it marginally ok. BUT THE VANILLA version truly reminds me of vanilla cake, damn near delicious for a sugar-free product. If you're on a low carb, low/no sugar diet, drinking the vanilla version will feel more like a treat than a chore to get your macros in. Do yourself a favor and get the vanilla.","Reviewed in the United States on September 23, 2023",Flavor Name: Vanilla
33,B007SYSQ7K,NicMumble,5.0,Decent,Taste is good with coffee. Is a bit gritty so drink fast!,"Reviewed in the United States on December 8, 2023",Flavor Name: Vanilla
34,B007SYSQ7K,Bonnie,5.0,Flavor was good,Quality and quantity was good for price. Flavor Chocolate was good,"Reviewed in the United States on December 7, 2023",Flavor Name: Chocolate
35,B007SYSQ7K,Rachel A Young,4.0,A Delicious and Digestive Delight!,"I would highly recommend this product to anyone looking for a tasty and nutritious protein powder. The Garden of Life Organic Vegan Vanilla Protein Powder is a complete plant-based protein that not only satisfies your taste buds with its delicious vanilla flavor, but also supports easy digestion with the inclusion of digestive enzymes. It's a win-win for your taste buds and your digestive system! Plus, knowing that it's non-GMO, gluten-free, and lactose-free gives me peace of mind. Say goodbye to bland and hard-to-digest protein powders and say hello to this delightful and digestive-friendly option. It's a game changer in the world of plant powders!","Reviewed in the United States on August 24, 2023",Flavor Name: Vanilla
36,B007SYSQ7K,Tim C.,4.0,Currently my favorite protein powder. A little pricey though.,"As someone who has taken various protein powders over the last few years, this one has become one of my favorites (Vanilla flavor). Is this powder on the gritty side? Yes, it can be but it really depends on your blending method. I find that using a proper protein shaker cup makes this less gritty and does a great job of reducing any chunks. When I mixed it with just a spoon, it was nearly impossible to fully mix properly.However, the taste alone makes it all worth it. Maybe I'm one of the few who actually likes the taste and texture, but it's way better than any of the other overly sweet, artificial tasting protein powders that I've tried in the past (including whey protein). One day I'll try the unflavored version but the vanilla to me is perfect. It has a subtle taste of vanilla without tasting like a sugar filled dessert drink.I'm rating it four stars for the simple fact that the price has increased in just the few months that I've been purchasing. While I do love this product, I'm planning to keep an eye out for a cheaper alternative. Also, the amount of powder in the package seems a little questionable--will need to get this stuff on a scale one day.","Reviewed in the United States on May 10, 2023",VINE VOICE
37,B007SYSQ7K,jt s.,4.0,Not a lot of flavor,"As far as protein powders go, this is one of the better I have used.  It doesn't have a lot of flavor unfortunately and still has a slight 'chalky' texture even when blended with a Ninja.  I have learned that using unsweetened almond milk, a few scoops of monk fruit and Naked PB along with ice makes gives it a better flavor.","Reviewed in the United States on September 22, 2023",Flavor Name: Vanilla
38,B007SYSQ7K,Maci Patterson,5.0,A Staple in My Health Regime,"I've been using this plant-based protein powder and I must say, it's tasty! Not only does it supplement my protein needs as a vegan, but it's also easy to digest. The flavor is quite good. All in all, it's now a staple in my health regime. Highly recommended!","Reviewed in the United States on November 13, 2023",Flavor Name: Unflavored
39,B007SYSQ7K,Luis Sanchez,5.0,Goes great in my fruit smoothies,Great ingredients list. Perfect if your looking for other sources of proteins.,"Reviewed in the United States on December 3, 2023",Flavor Name: Unflavored
40,B007SYSQ7K,2150bye,5.0,Checks all boxes..,"G great dietary formula, except for a little bit of Eryrthrotol (check spelling), otherwise a very good tasting liquid supplement","Reviewed in the United States on November 26, 2023",Flavor Name: Chocolate
41,B007SYSQ7K,Sandra J.,3.0,I just can't get over the flavor!,"I really wanted to like this product. I've used the plant-based Orgain chocolate protein powder for a long time and I craved my smoothies every day when I woke up. i heard that wasn't the best, so I decided to switch to a more wholesome option. I've stopped putting protein powder in my morning smoothies because I just don't like the taste of this product -- it tastes grassy? i try to cover it up with other flavors too but it still has such a prominent flavor. someone else reviewed that it tastes like a nice chocolate and it is one of their favorite protein powders. i've love the consistency and what's in it, but I just can't get behind the flavor.","Reviewed in the United States on November 13, 2023",Flavor Name: Chocolate
42,B007SYSQ7K,Natalie Bressman,5.0,Wow!,Love love love it!,"Reviewed in the United States on December 7, 2023",Flavor Name: Vanilla
43,B007SYSQ7K,ConAmor_Gabriela,5.0,The Perfect Base to All Of My Smoothies!,"I have been purchasing this protein for well over a year now and it is the best base for all of our protein smoothies! I drink this every morning with a variety of fruits, alternatives milks, my mushroom powder, and my cytogreens.  It is the best addition to assure I am getting all of our nutrients in my day, and always makes my gut feel good as it has probiotics.The only thing I swapped out was the scoop, as I felt it was too big and the servings would go quicker.  It does amount for 20 days worth and I have subscribed to the monthly shipping as I go through it once a month.Lastly, in being Vegan I felt this was the best tasting powder and does not take away from all the goodness I add to it.  Love love love this protein powder!","Reviewed in the United States on September 27, 2023",Flavor Name: Vanilla
44,B007SYSQ7K,TC,5.0,Awesome stuff,"I was worried the unflavored version would have some type of weird (unflavored) flavor and it would affect the taste of my drinks. This stuff is truly unflavored and works extremely well in smoothies. I would 100% recommend trying it, if you are looking for an unflavored protein powder.","Reviewed in the United States on November 4, 2023",Flavor Name: Unflavored
45,B007SYSQ7K,Jamie P.,5.0,Super Nutritious & Tasty!,"Great stuff! I make a shake almost daily with this product and I love it and it makes me feel great, energized, focused. Tried others and always came back to this one.","Reviewed in the United States on November 12, 2023",Flavor Name: Chocolate
46,B007SYSQ7K,evemarie,5.0,I'm using this while chelating and so far it's helping me stay strong while I rid tremors caused by heavy metal poisoning,"I LOVE THIS PRODUCT!  it has a good taste because it is unflavored and thus easy to mix in smoothies without a thick sickening sweet taste like other protein drinks.  i wish it was cheaper but after going without it for 5 days, i know now that it is a staple in my health routine.i don't take it alone, i mix one scoop with 1/2 lbs. baby peeled carrots, water, and 2 scoops of YOUNGEVITY TANGY TANGERINE COLLOIDAL MINERALS and 1 scoop of YOUNGEVITY OSTEO FX and 2 tablespoons of KNOX UNFLAVORED POWDER GELATIN.  I blend this in a NINJA BLENDER.  after the gym each day i drink this!  (can get all these products here on amazon).  Then for heavy metal detox chelating I am using BIORAY NDF PLUS 20 drops 2x a day (taken separately not with this smoothie) (this must purchase from bioray not available on amazon).  so in reading my review keep in mind it is not just GARDEN OF LIFE RAW PROTEIN POWDER that is responsible for my new found energy and strength, but it IS an integral part of it and without it i notice a difference.as to the scare tactic articles and fear mongering going on about this product having dangerous levels of heavy metal???????  i find it a little hard to believe that this product is as bad as the blogger said.  Why?  Because i currently am chelating (on my 3rd month) to help my hand and body tremors (caused from mercury and heavy metal poisoning from dental amalgams) and am getting a lot better and i use RAW protein now for several months.  it seems to me that if this product did have dangerous levels of heavy metal that my chelating would not be going so well and that my tremors would be getting worse, since the cause of them IS HEAVY METAL.however, this is not the case:  my tremors caused from heavy metal poisoning are getting better whilst on this RAW protein product.in any case, having been without RAW PROTEIN for the past 5 days (i ran out $ but ordered more today), i have noticed a total lack of strength and not feel as vigorous in my daily yoga and activities WITHOUT taking RAW PROTEIN.  in fact my tremors seem more shaky without taking RAW protein powder!so there you have it!  proof to me that my heavy metal symptoms are worse without RAW protein, and better while i am using it.  certainly this would not be the case if this product was bad as they are saying.i live in the italian alps and also the US and i have no affiliation with Garden of Life.  i just know that it is instrumental in me getting better and i don't feel well when i go without it for several days and i feel fantastic when i use it.  and i have preexisting heavy metal poisoning, not silly comments like stomach aches or other symptoms that are cited in the comments on the Natural News website claimed to be caused by this product, i had the serious kind where your entire body has TREMORS, so bad you cannot hold a glass of water in your hand without dropping it.heavy metal symptoms are very extreme, tremors are one such sign typical of heavy metal poisoning.  and thus far not one person has gotten tremors from this product.and one person (me) says my tremors actually are getting better while chelating and while taking this product.i would be more concerned with the poisonous water (tap water AND bottled water) in america!","Reviewed in the United States on February 25, 2015",Flavor Name: Unflavored
47,B007SYSQ7K,D.R,5.0,Tastes good,This powder seems to create a smoother quality drink. The taste is mild so you can add any flavors. Better than whey. Use milk and collagen and you're at 30 mg of protien!,"Reviewed in the United States on November 12, 2023",Flavor Name: Vanilla
48,B007SYSQ7K,Bridgetta,5.0,I love this brand - I'm on a flavor tasting adventure!,"If you're knee deep in protein smoothie reviews, I bet you've tried as many different kinds of these as I have! I recently re-purchased the plain ol' ""Vanilla"" flavor as I find it a great base for smoothies when I want to add fruit, peanut butter, leftover coffee etc. I absolutely makes anything I add taste rich, creamy and smooth. The powder is filling without causing bloat or tummy issues for me. I like the plant proteins this brand uses and find it the most valuable and tasty! Blends well and a note to add that of all of the many flavors of Garden of Life I've tried - this basic vanilla is the best for adding fruit!","Reviewed in the United States on October 4, 2023",Flavor Name: Vanilla
49,B007SYSQ7K,Ruth Pierre,4.0,Good,"Hard to mix, so I bought a blender and that’s been easier. Just wish the product was less expensive.Tastes good with vanilla almond milk (with sweetener)","Reviewed in the United States on September 21, 2023",Flavor Name: Unflavored
50,B002EVPVMU,Mai-Li,5.0,Tastes good,Good powder for the price and mixes easily.,"Reviewed in the United States on October 29, 2023",Flavor Name: Rum Raisin
51,B002EVPVMU,Jeff Saremi,5.0,Best value for the money,Highest protein/cals ratioGreat tasting!Extremely well priced.,"Reviewed in the United States on May 8, 2023",Flavor Name: Chocolate Birthday Cake
